Date,Temp,consumption,Month
206902,17.77359091,21300195,2
206903,19.27063636,20577806,3
206904,24.53326364,18038361,4
206905,27.81447273,16455037,5
206906,30.42993636,15192963,6
206907,31.86156364,14502141,7
206908,31.2834,14781130,8
206909,30.72837273,15048955,9
206910,26.16560909,17250685,10
206911,22.87517273,18838462,11
206912,20.20859091,20125202,12
207001,16.65432727,21840288,1
207002,19.192,20615751,2
207003,20.10739091,20174036,3
207004,26.4361,17120161,4
207005,29.00453636,15880780,5
207006,31.13426364,14853095,6
207007,32.59746364,14147038,7
207008,31.36483636,14741834,8
207009,30.64673636,15088348,9
207010,26.06401818,17299707,10
207011,25.31754545,17659912,11
207012,22.13672727,19194793,12
207101,18.66166364,20871661,1
207102,16.8116,21764397,2
207103,21.67083636,19419606,3
207104,25.25488182,17690150,4
207105,29.14311818,15813908,5
207106,31.13916364,14850730,6
207107,32.13226364,14371517,7
207108,31.68361818,14588008,8
207109,29.76230909,15515122,9
207110,26.27010909,17200259,10
207111,24.08819091,18253128,11
207112,20.8777,19802328,12
207201,19.45226364,20490163,1
207202,18.80973636,20800210,2
207203,20.174,20141894,3
207204,24.58207273,18014809,4
207205,27.65650909,16531261,5
207206,30.8759,14977766,6
207207,31.51818182,14667838,7
207208,32.02424545,14423640,8
207209,30.73444545,15046024,9
207210,26.62279091,17030075,10
207211,21.88850909,19314569,11
207212,20.86845455,19806790,12
207301,17.97616364,21202445,1
207302,18.89117273,20760913,2
207303,21.68318182,19413649,3
207304,23.66806364,18455858,4
207305,27.3526,16677910,5
207306,29.88662727,15455133,6
207307,31.36227273,14743071,7
207308,32.0506,14410923,8
207309,30.11248182,15346149,9
207310,26.65400909,17015010,10
207311,23.54422727,18515614,11
207312,19.48534545,20474199,12
207401,17.61375455,21377323,1
207402,18.81990909,20795301,2
207403,21.56255455,19471857,3
207404,23.41919091,18575950,4
207405,27.91553636,16406269,5
207406,30.6947,15065203,6
207407,32.15574545,14360186,7
207408,32.04072727,14415687,8
207409,30.10700909,15348789,9
207410,26.4375,17119485,10
207411,22.24653636,19141806,11
207412,19.69748182,20371834,12
207501,17.15234545,21599972,1
207502,17.58609091,21390671,2
207503,18.05443636,21164675,3
207504,23.18646364,18688250,4
207505,26.96818182,16863409,5
207506,28.64432727,16054596,6
207507,30.92694545,14953135,7
207508,31.02450909,14906056,8
207509,30.43426364,15190875,9
207510,27.33799091,16684960,10
207511,23.13885455,18711224,11
207512,17.9927,21194465,12
207601,16.4069,21959682,1
207602,16.2878,22017153,2
207603,18.30523636,21043653,3
207604,25.07091818,17778920,4
207605,27.83046364,16447321,5
207606,31.0987,14870256,6
207607,31.26643636,14789316,7
207608,31.12172727,14859144,8
207609,29.66162727,15563705,9
207610,26.52861818,17075517,10
207611,22.15188182,19187481,11
207612,18.36124545,21016626,12
207701,17.78754545,21293461,1
207702,17.71827273,21326888,2
207703,19.65625455,20391728,3
207704,24.27280909,18164042,4
207705,27.26123636,16721997,5
207706,29.67318182,15558130,6
207707,31.34106364,14753305,7
207708,32.43084545,14227438,8
207709,30.26785455,15271174,9
207710,25.9675,17346281,10
207711,23.96033636,18314824,11
207712,19.77818182,20332893,12
207801,16.67946364,21828158,1
207802,19.42445455,20503582,2
207803,18.34817273,21022934,3
207804,23.72055455,18430529,4
207805,26.23136364,17218955,5
207806,30.26297273,15273530,6
207807,32.25588182,14311866,7
207808,30.54584545,15137032,8
207809,30.40288182,15206018,9
207810,26.84541818,16922647,10
207811,24.52728182,18041248,11
207812,19.56614545,20435210,12
207901,17.29017273,21533465,1
207902,17.29824545,21529569,2
207903,19.51332727,20460697,3
207904,23.39955455,18585425,4
207905,26.69254545,16996415,5
207906,30.0775,15363029,6
207907,32.00961818,14430699,7
207908,31.82600909,14519298,8
207909,29.91474545,15441565,9
207910,27.42530909,16642825,10
207911,22.2573,19136612,11
207912,18.84605455,20782685,12
208001,19.30049091,20563400,1
208002,16.19613636,22061384,2
208003,17.28017273,21538290,3
208004,23.47210909,18550414,4
208005,28.08758182,16323250,5
208006,30.60487273,15108549,6
208007,31.73381818,14563784,7
208008,32.69202727,14101407,8
208009,30.25890909,15275491,9
208010,27.02363636,16836649,10
208011,22.1313,19197412,11
208012,20.03798182,20207529,12
208101,18.67860909,20863484,1
208102,16.77399091,21782545,2
208103,21.56010909,19473037,3
208104,22.03535455,19243710,4
208105,25.69213636,17479156,5
208106,29.43726364,15671970,6
208107,31.43441818,14708257,7
208108,30.69135455,15066817,8
208109,30.13603636,15334782,9
208110,27.66088182,16529151,10
208111,21.86278182,19326984,11
208112,18.85642727,20777679,12
208201,19.70497273,20368220,1
208202,18.683,20861366,2
208203,19.57166364,20432547,3
208204,24.4048,18100351,4
208205,28.1985,16269727,5
208206,31.04773636,14894848,6
208207,32.13173636,14371771,7
208208,32.3649,14259260,8
208209,30.57437273,15123266,9
208210,25.83975455,17407923,10
208211,23.30966364,18628801,11
208212,19.04671818,20685856,12
208301,17.97740909,21201844,1
208302,18.22005455,21084757,2
208303,20.87550909,19803386,3
208304,23.47156364,18550677,4
208305,26.50690909,17085993,5
208306,30.83136364,14999257,6
208307,30.38165455,15216261,7
208308,30.99489091,14920348,8
208309,29.17043636,15800726,9
208310,26.27496364,17197916,10
208311,23.24375455,18660605,11
208312,18.32740909,21032954,12
208401,15.1143,22583417,1
208402,19.48288182,20475388,2
208403,20.84779091,19816761,3
208404,23.52082727,18526906,4
208405,28.31156364,16215169,5
208406,30.95135455,14941356,6
208407,31.66448182,14597242,7
208408,31.2562,14794255,8
208409,30.47257273,15172389,9
208410,28.02318182,16354326,10
208411,23.2485,18658315,11
208412,19.46097273,20485960,12
208501,16.25578182,22032603,1
208502,17.43302727,21464531,2
208503,21.98224545,19269338,3
208504,23.86120909,18362657,4
208505,28.32598182,16208212,5
208506,30.09537273,15354404,6
208507,31.70597273,14577221,7
208508,31.39382727,14727844,8
208509,30.3314,15240511,9
208510,29.16639091,15802678,10
208511,23.03194545,18762812,11
208512,19.28915455,20568870,12
208601,20.0782,20188122,1
208602,17.07609091,21636768,2
208603,19.26531818,20580372,3
208604,25.31064545,17663241,4
208605,28.58447273,16083479,5
208606,30.27801818,15266270,6
208607,32.13846364,14368525,7
208608,31.75434545,14553879,8
208609,30.3561,15228592,9
208610,27.79388182,16464973,10
208611,21.9619,19279155,11
208612,19.70919091,20366184,12
208701,17.42249091,21469615,1
208702,16.71597273,21810541,2
208703,19.17199091,20625406,3
208704,24.19326364,18202426,4
208705,28.68757273,16033728,5
208706,31.32225455,14762381,6
208707,32.11243636,14381084,7
208708,32.69333636,14100775,8
208709,30.59482727,15113396,9
208710,27.09094545,16804170,10
208711,23.38009091,18594817,11
208712,22.02162727,19250334,12
208801,18.82516364,20792766,1
208802,19.90989091,20269338,2
208803,21.75810909,19377493,3
208804,24.34161818,18130839,4
208805,28.32148182,16210383,5
208806,30.96286364,14935803,6
208807,31.37978182,14734622,7
208808,31.03624545,14900393,8
208809,28.80548182,15976832,9
208810,26.17636364,17245495,10
208811,23.78702727,18398453,11
208812,18.95819091,20728574,12
208901,17.5871,21390185,1
208902,19.131,20645186,2
208903,20.19327273,20132594,3
208904,24.90068182,17861066,4
208905,27.59605455,16560433,5
208906,29.81031818,15491955,6
208907,31.27544545,14784968,7
208908,31.11736364,14861250,8
208909,29.70063636,15544882,9
208910,26.43073636,17122749,10
208911,23.26276364,18651432,11
208912,19.07825455,20670638,12
209001,17.55875455,21403862,1
209002,19.12324545,20648928,2
209003,21.22503636,19634724,3
209004,24.14914545,18223715,4
209005,27.62540909,16546268,5
209006,30.82511818,15002271,6
209007,30.27189091,15269227,7
209008,31.69773636,14581195,8
209009,30.80562727,15011676,9
209010,26.717,16984615,10
209011,23.12985455,18715567,11
209012,22.68278182,18931299,12
209101,13.79428182,23220383,1
209102,16.59117273,21870762,2
209103,19.10168182,20659334,3
209104,22.92330909,18815234,4
209105,27.1385,16781223,5
209106,31.2057,14818624,6
209107,32.08208182,14395732,7
209108,31.96957273,14450022,8
209109,28.88123636,15940277,9
209110,25.63814545,17505208,10
209111,23.1205,18720081,11
209112,18.05740909,21163240,12
209201,15.80685455,22249230,1
209202,16.34836364,21987928,2
209203,20.64744545,19913436,3
209204,23.94424545,18322588,4
209205,28.18579091,16275860,5
209206,30.78683636,15020743,6
209207,33.43424545,13743255,7
209208,32.6991,14097994,8
209209,31.73794545,14561792,9
209210,25.97916364,17340652,10
209211,22.27350909,19128790,11
209212,19.71221818,20364723,12
209301,18.74116364,20833299,1
209302,20.50836364,19980549,2
209303,22.65878182,18942880,3
209304,24.81292727,17903412,4
209305,29.06937273,15849494,5
209306,29.39286364,15693395,6
209307,32.32637273,14277851,7
209308,31.81974545,14522320,8
209309,30.24780909,15280847,9
209310,28.24619091,16246714,10
209311,23.36996364,18599704,11
209312,18.97199091,20721915,12
209401,18.11202727,21136885,1
209402,16.2551,22032932,2
209403,18.64997273,20877303,3
209404,23.75100909,18415833,4
209405,26.65853636,17012826,5
209406,29.34616364,15715930,6
209407,31.10443636,14867488,7
209408,31.70762727,14576422,8
209409,30.69752727,15063839,9
209410,25.83079091,17412249,10
209411,25.23243636,17700981,11
209412,18.67043636,20867428,12
209501,16.35829091,21983138,1
209502,16.80046364,21769770,2
209503,21.45194545,19525230,3
209504,24.26882727,18165963,4
209505,27.59606364,16560429,5
209506,29.38465455,15697356,6
209507,31.3842,14732490,7
209508,30.80554545,15011715,8
209509,29.68177273,15553984,9
209510,26.12240909,17271530,10
209511,22.80206364,18873740,11
209512,18.3752,21009892,12
209601,18.74003636,20833843,1
209602,19.87524545,20286056,2
209603,20.40764545,20029150,3
209604,24.42419091,18090994,4
209605,28.27404545,16233273,5
209606,30.45564545,15180557,6
209607,32.60547273,14143173,7
209608,30.73993636,15043375,8
209609,29.80272727,15495618,9
209610,26.06230909,17300531,10
209611,20.50491818,19982212,11
209612,19.59171818,20422870,12
209701,18.8388,20786185,1
209702,19.23489091,20595054,2
209703,21.92571818,19296614,3
209704,23.65499091,18462166,4
209705,28.01887273,16356405,5
209706,31.29484545,14775607,6
209707,33.0052,13950287,7
209708,31.89768182,14484713,8
209709,30.93524545,14949130,9
209710,26.6582,17012988,10
209711,21.22186364,19636255,11
209712,18.64767273,20878413,12
209801,19.53307273,20451169,1
209802,16.9813,21682509,2
209803,20.09053636,20182169,3
209804,23.22865455,18667892,4
209805,28.41276364,16166336,5
209806,30.85248182,14989067,6
209807,31.25956364,14792632,7
209808,30.6709,15076688,8
209809,30.73750909,15044546,9
209810,28.50118182,16123670,10
209811,22.98491818,18785505,11
209812,17.4356,21463290,12
